,huffman,huffman_ratio_doc,huffman_ratio_text,avg_cos_sim_wv,cv_wv,ideology,populist,avg_cos_sim,cv
alan,165290.375,200.3519696969697,0.13157798897641806,0.9152527663588523,0.053665660120025195,center_right,not_populist,1.2797616837450303,0.1459343289370122
arias,31575.0,222.35915492957747,0.1310916624457158,0.9967822413384915,0.004060497665882693,center_right,not_populist,1.7834450623214244,0.08790162546058167
bachelet,164916.5,187.61831626848692,0.12411840719859893,0.8516105603158475,0.07545886681105084,center_left,not_populist,1.2653657657304314,0.13615911685030233
calderon,206975.25,223.75702702702702,0.13362906334193955,0.89230164851211,0.06173352226315012,right,not_populist,1.2565734517754987,0.14576524680249223
cartes,94579.125,207.41036184210526,0.1249985131673896,0.9056329393588007,0.06052578057980378,right,not_populist,1.3017759298260323,0.15285995533151145
chavez,1020921.25,212.82494267250365,0.13036234717315345,0.610465474034287,0.10597306919737481,left,populist,1.2301944787110668,0.1040542104170465
chinchilla,47158.875,208.66758849557522,0.12614485337584627,0.9868536350697279,0.022161236851163363,center_right,not_populist,1.514445914135687,0.14249292976209663
colom,166291.875,218.23080708661416,0.13432451982494148,0.9143552502766252,0.05602503404413699,center_left,not_populist,1.2756922500045504,0.16037815241540923
correa,391186.25,214.3486301369863,0.12890718323620468,0.7452042743511498,0.09414060193467327,left,populist,1.2539537770537659,0.1195198859396669
fenandez,204513.75,218.2644076840982,0.1318747589981545,0.8546873620301485,0.07104789573574061,right,not_populist,1.270681133942958,0.1412929535141592
funes,87948.125,209.40029761904762,0.12447139219868295,0.9530609894692899,0.04117266087647738,left,not_populist,1.3032299474488012,0.15230235715731993
hernandez,130954.375,216.0963283828383,0.1299641779283638,0.9146708042725922,0.054398392351417725,right,not_populist,1.2830915337374433,0.16069601603696498
j_morales,93778.625,212.16883484162895,0.13686733685650027,0.9772639698505401,0.02439801999172453,right,not_populist,1.3748247501332314,0.15804593472085843
kirchner,679790.875,207.5697328244275,0.12996797693658804,0.6116977571256459,0.10785903646173595,right,populist,1.2520539219367317,0.11284366810293885
lobo,174527.375,209.26543764988008,0.12766920282539934,0.8819394925452768,0.06340196713193805,right,not_populist,1.2682308056200855,0.13929587879135985
lugo,91813.0,216.03058823529412,0.12735302725773406,0.9447725873358548,0.04768562856604328,center_left,not_populist,1.3239464630308562,0.15541992356633613
macri,180417.75,202.94460067491565,0.1289848021665027,0.835325887670368,0.0804329055502272,right,not_populist,1.2686516309152358,0.1429412422319296
maduro,1003474.375,199.77590583316743,0.12794006705837174,0.5440601128106937,0.11002701221926277,left,populist,1.248893703664746,0.10945514385086794
martinelli,81433.75,194.35262529832934,0.1256209024296182,0.9446142086744309,0.04451325129978641,right,not_populist,1.355356783910282,0.15807336768177555
medina,301416.75,212.86493644067798,0.1290548988041463,0.7443759766958653,0.09381239059767042,center_right,not_populist,1.2766690833864733,0.12491494272117386
morales,406246.375,210.27245082815736,0.12784848976935453,0.6930054248822852,0.1002528210538522,left,populist,1.2523594202077948,0.11518590201135068
mujica,78169.875,197.39867424242425,0.12792378401023785,0.9378632224366068,0.05915263568022966,center_left,not_populist,1.3652389145350083,0.14754106521568672
ollanta,335031.0,189.49717194570135,0.12910327383314926,0.7473052049435676,0.09418108360183626,center_left,not_populist,1.2647569105495233,0.11672513107761288
ortega,150583.875,216.3561422413793,0.1285668089647812,0.8713950949236751,0.06725570276257573,center_left,populist,1.284608231300814,0.15617692523274343
pena_nieto,681523.5,211.12871747211895,0.12712993593170624,0.6204181414663792,0.10704079340026447,center_right,not_populist,1.2511173569482752,0.10889543142934363
perez,146528.875,216.11928466076697,0.13368898391760178,0.9336740858376027,0.049188533091294236,right,not_populist,1.2911877152294853,0.1566987972011465
pinera,195841.125,206.36577976817702,0.12729702403315526,0.8587929341565819,0.0719681437426851,right,not_populist,1.251205749666132,0.14250281456001582
sanchez,58708.375,219.06110074626866,0.12525655796289778,0.9757146967217327,0.027651050796697454,left,not_populist,1.370065326582128,0.19081858164870233
santos,605080.625,210.53605601948504,0.13158097175148123,0.6877868354711683,0.10035551165829526,right,not_populist,1.2417695984616877,0.11162130713883929
solis,18057.5,202.8932584269663,0.12936098574396446,0.9966145517945291,0.0009340229487952785,center_left,not_populist,1.833249615392089,0.07494631695593768
tabare,32141.0,215.71140939597316,0.12876332562807224,0.9965184481143952,0.005503531035078653,center_left,not_populist,1.6680987456601113,0.11153283241726943
uribe,258205.375,216.97930672268907,0.1341982626312395,0.8589736563235522,0.07131207991140384,right,populist,1.2573369616541545,0.14084124652262445
varela,23372.75,171.85845588235293,0.11957205709316007,0.9955151075661182,0.004050108374655273,right,not_populist,1.6684250320248306,0.11855620528896499
zelaya,158646.0,212.37751004016064,0.13053953312323605,0.8909133795544506,0.061116838003116306,center_right,not_populist,1.2827968523856252,0.1481760339998978
